n_qubits,complexity,trial,runtime_s,fidelity
3,1,0,4.792213439941406e-05,0.32737345261791234
3,1,1,3.0994415283203125e-05,0.3565963618000246
3,1,2,3.4809112548828125e-05,0.6832324974597698
3,1,3,0.00010180473327636719,0.29765425641512
3,1,4,2.574920654296875e-05,0.1621746167074703
3,1,5,2.288818359375e-05,0.07304609775143805
3,1,6,2.1696090698242188e-05,0.2211737877665443
3,1,7,2.193450927734375e-05,0.04604136714590976
3,1,8,2.09808349609375e-05,0.35075933391706265
3,1,9,2.193450927734375e-05,0.14140427062325198
3,1,10,2.2172927856445312e-05,0.15987850061871944
3,1,11,2.193450927734375e-05,0.3928898129907595
3,1,12,2.09808349609375e-05,0.16532769433540423
3,1,13,2.193450927734375e-05,0.10132109830712754
3,1,14,2.09808349609375e-05,0.1736212171559386
3,1,15,2.193450927734375e-05,0.12123767477596371
3,1,16,2.1219253540039062e-05,0.20313698785347922
3,1,17,2.09808349609375e-05,0.584042438712234
3,1,18,1.9788742065429688e-05,0.40500153855820537
3,1,19,2.1219253540039062e-05,0.42327959329779524
3,2,0,4.100799560546875e-05,0.1897009603655981
3,2,1,4.100799560546875e-05,0.1438424351719464
3,2,2,3.981590270996094e-05,0.16552564440299047
3,2,3,4.100799560546875e-05,0.1822623919749585
3,2,4,3.981590270996094e-05,0.7143482093903587
3,2,5,4.00543212890625e-05,0.3358143753803079
3,2,6,4.00543212890625e-05,0.3185587179769994
3,2,7,3.910064697265625e-05,0.23380256059214924
3,2,8,3.910064697265625e-05,0.5382946050296089
3,2,9,4.00543212890625e-05,0.2696762028977844
3,2,10,3.886222839355469e-05,0.04487766840056636
3,2,11,4.601478576660156e-05,0.2786363322424415
3,2,12,0.0002009868621826172,0.21077216359370562
3,2,13,0.00011372566223144531,0.27219715069399725
3,2,14,0.0001571178436279297,0.06719834508794831
3,2,15,6.914138793945312e-05,0.23348569339081648
3,2,16,4.8160552978515625e-05,0.43854988219073376
3,2,17,7.200241088867188e-05,0.18105296061680945
3,2,18,3.1948089599609375e-05,0.16428167300396618
3,2,19,4.38690185546875e-05,0.08793991440738355
3,5,0,0.0001239776611328125,0.25048806277000973
3,5,1,0.00010991096496582031,0.615408709939963
3,5,2,0.0005390644073486328,0.4449970514978071
3,5,3,0.00018978118896484375,0.2864510215408098
3,5,4,0.0001239776611328125,0.404993686473231
3,5,5,9.489059448242188e-05,0.5414048981588395
3,5,6,8.916854858398438e-05,0.6464778926494196
3,5,7,8.821487426757812e-05,0.5777908804653819
3,5,8,8.606910705566406e-05,0.156621087756084
3,5,9,8.702278137207031e-05,0.47958844870633643
3,5,10,9.417533874511719e-05,0.10016674038252142
3,5,11,8.916854858398438e-05,0.5201488959505963
3,5,12,8.702278137207031e-05,0.565713209061276
3,5,13,9.179115295410156e-05,0.6703348047222363
3,5,14,8.320808410644531e-05,0.4241143095914672
3,5,15,6.890296936035156e-05,0.23096879944598547
3,5,16,6.914138793945312e-05,0.49053255443535476
3,5,17,6.699562072753906e-05,0.34488825710084725
3,5,18,6.67572021484375e-05,0.48682615943209595
3,5,19,6.699562072753906e-05,0.26887360822628464
3,10,0,0.00013184547424316406,0.5749963640909612
3,10,1,0.00013399124145507812,0.4263357097286973
3,10,2,0.00013303756713867188,0.20186650683871157
3,10,3,0.00014281272888183594,0.6686713842116104
3,10,4,0.00013184547424316406,0.5820802739033943
3,10,5,0.00013017654418945312,0.2717322544439737
3,10,6,0.00013399124145507812,0.5814430082385118
3,10,7,0.0001399517059326172,0.6572805260053132
3,10,8,0.00013327598571777344,0.42418840188592133
3,10,9,0.00013375282287597656,0.41439221961334594
3,10,10,0.00012993812561035156,0.4424747827270731
3,10,11,0.00013017654418945312,0.7313392072426991
3,10,12,0.0001308917999267578,0.27160825783397835
3,10,13,0.00013208389282226562,0.8587605694629874
3,10,14,0.00012993812561035156,0.34240012316744184
3,10,15,0.0001308917999267578,0.43182587329396266
3,10,16,0.00013113021850585938,0.23074886485819948
3,10,17,0.0001289844512939453,0.4793418208829523
3,10,18,0.00012993812561035156,0.2987171042413513
3,10,19,0.00013017654418945312,0.48217784096945043
